season,round,game,home,team,points,points_against,opponent,avgPD,avgPD_opp,wins,wins_opp,points_diff,win,draw
11_12,1,1,1,irish,24,29,harlequins,0,0,0,0,-5,0,0
11_12,1,1,0,harlequins,29,24,irish,0,0,0,0,5,1,0
11_12,1,2,1,leicester,28,30,exeter,0,0,0,0,-2,0,0
11_12,1,2,0,exeter,30,28,leicester,0,0,0,0,2,1,0
11_12,1,3,1,worcester,17,12,sale,0,0,0,0,5,1,0
11_12,1,3,0,sale,12,17,worcester,0,0,0,0,-5,0,0
11_12,1,4,1,saracens,15,20,wasps,0,0,0,0,-5,0,0
11_12,1,4,0,wasps,20,15,saracens,0,0,0,0,5,1,0
11_12,1,5,1,newcastle,9,22,bath,0,0,0,0,-13,0,0
11_12,1,5,0,bath,22,9,newcastle,0,0,0,0,13,1,0
11_12,1,6,1,northampton,26,24,gloucester,0,0,0,0,2,1,0
11_12,1,6,0,gloucester,24,26,northampton,0,0,0,0,-2,0,0
11_12,2,7,1,harlequins,26,13,northampton,5,2,1,1,13,1,0
11_12,2,7,0,northampton,13,26,harlequins,2,5,1,1,-13,0,0
11_12,2,8,1,sale,30,29,irish,-5,-5,0,0,1,1,0
11_12,2,8,0,irish,29,30,sale,-5,-5,0,0,-1,0,0
11_12,2,9,1,exeter,32,15,newcastle,2,-13,1,0,17,1,0
11_12,2,9,0,newcastle,15,32,exeter,-13,2,0,1,-17,0,0
11_12,2,10,1,gloucester,29,8,worcester,-2,5,0,1,21,1,0
11_12,2,10,0,worcester,8,29,gloucester,5,-2,1,0,-21,0,0
11_12,2,11,1,bath,26,28,saracens,13,-5,1,0,-2,0,0
11_12,2,11,0,saracens,28,26,bath,-5,13,0,1,2,1,0
11_12,2,12,1,wasps,35,29,leicester,5,-2,1,0,6,1,0
11_12,2,12,0,leicester,29,35,wasps,-2,5,0,1,-6,0,0
11_12,3,13,1,harlequins,42,6,gloucester,9,9.5,2,1,36,1,0
11_12,3,13,0,gloucester,6,42,harlequins,9.5,9,1,2,-36,0,0
11_12,3,14,1,northampton,13,14,irish,-5.5,-3,1,0,-1,0,0
11_12,3,14,0,irish,14,13,northampton,-3,-5.5,0,1,1,1,0
11_12,3,15,1,wasps,18,29,sale,5.5,-2,2,1,-11,0,0
11_12,3,15,0,sale,29,18,wasps,-2,5.5,1,2,11,1,0
11_12,3,16,1,newcastle,26,27,leicester,-15,-4,0,0,-1,0,0
11_12,3,16,0,leicester,27,26,newcastle,-4,-15,0,0,1,1,0
11_12,3,17,1,bath,23,19,exeter,5.5,9.5,1,2,4,1,0
11_12,3,17,0,exeter,19,23,bath,9.5,5.5,2,1,-4,0,0
11_12,3,18,1,saracens,18,6,worcester,-1.5,-8,1,1,12,1,0
11_12,3,18,0,worcester,6,18,saracens,-8,-1.5,1,1,-12,0,0
11_12,4,19,1,sale,29,21,northampton,2.333333333,-4,2,1,8,1,0
11_12,4,19,0,northampton,21,29,sale,-4,2.333333333,1,2,-8,0,0
11_12,4,20,1,leicester,25,50,saracens,-2.333333333,3,1,2,-25,0,0
11_12,4,20,0,saracens,50,25,leicester,3,-2.333333333,2,1,25,1,0
11_12,4,21,1,gloucester,23,6,bath,-5.666666667,5,1,2,17,1,0
11_12,4,21,0,bath,6,23,gloucester,5,-5.666666667,2,1,-17,0,0
11_12,4,22,1,irish,46,29,newcastle,-1.666666667,-10.33333333,1,0,17,1,0
11_12,4,22,0,newcastle,29,46,irish,-10.33333333,-1.666666667,0,1,-17,0,0
11_12,4,23,1,worcester,15,17,harlequins,-9.333333333,18,1,3,-2,0,0
11_12,4,23,0,harlequins,17,15,worcester,18,-9.333333333,3,1,2,1,0
11_12,4,24,1,exeter,21,11,wasps,5,0,2,2,10,1,0
11_12,4,24,0,wasps,11,21,exeter,0,5,2,2,-10,0,0
11_12,5,25,1,worcester,12,3,northampton,-7.5,-5,1,1,9,1,0
11_12,5,25,0,northampton,3,12,worcester,-5,-7.5,1,1,-9,0,0
11_12,5,26,1,gloucester,33,30,irish,0,3,2,2,3,1,0
